check_id	severity	gene_id	gene_symbol	protein_id	protein_name	species_1_taxid	species_1_name	species_2_taxid	species_2_name	short_note	publication_pmid	publication_reference
gene-cross-species-products	ERROR	G-27160	SARED1	MONOMER-13854	MONOMER-13854	TAX-3467	Eschscholzia californica	TAX-397412	Coptis japonica		17080644	Weiss D et al. 2006. Sanguinarine reductase, a key enzyme of benzophenanthridine detoxification. Plant Cell Environ 29(2);291-302 PMID:17080644
gene-cross-species-products	ERROR	G-5223	CYP71D18	MONOMER-15424; MONOMER-6743	MONOMER-15424; MONOMER-6743	TAX-29719	Mentha spicata	TAX-34256	Mentha x piperita		10415126	Lupien S et al. 1999. Regiospecific cytochrome P450 limonene hydroxylases from mint (Mentha) species:  Arch Biochem Biophys 368(1);181-92 PMID:10415126
gene-cross-species-products	ERROR	G-5703	HIDM	MONOMER-5149	MONOMER-5149	TAX-46348	Glycyrrhiza echinata	TAX-49827	Glycyrrhiza glabra			
gene-cross-species-products	ERROR	G-9216	CYP93B2	MONOMER-11863	flavone synthase II	TAX-18101	Gerbera hybrid cultivar	TAX-46348	Glycyrrhiza echinata			
gene-cross-species-products	ERROR	G-9647	PcFSI	MONOMER-12564	flavone synthase I	TAX-4043	Petroselinum crispum	TAX-46348	Glycyrrhiza echinata		11524111	Martens S et al. 2001. Cloning of parsley flavone synthase I. Phytochemistry 58(1);43-6 PMID:11524111
protein-multi-species	WARNING	G-9216	CYP93B2	MONOMER-11863	flavone synthase II	TAX-46348	Glycyrrhiza echinata	TAX-18101	Gerbera hybrid cultivar			
protein-multi-species	WARNING	G-9647	PcFSI	MONOMER-12564	flavone synthase I	TAX-46348	Glycyrrhiza echinata	TAX-4043	Petroselinum crispum		11524111	Martens S et al. 2001. Cloning of parsley flavone synthase I. Phytochemistry 58(1);43-6 PMID:11524111
protein-multi-species	WARNING	G-27160	SARED1	MONOMER-13854	MONOMER-13854	TAX-397412	Coptis japonica	TAX-3467	Eschscholzia californica		17080644	Weiss D et al. 2006. Sanguinarine reductase, a key enzyme of benzophenanthridine detoxification. Plant Cell Environ 29(2);291-302 PMID:17080644
protein-multi-species	WARNING			MONOMER-4681	MONOMER-4681	TAX-46348	Glycyrrhiza echinata	TAX-3893	Pueraria montana			
protein-multi-species	WARNING	G-5703	HIDM	MONOMER-5149	MONOMER-5149	TAX-46348	Glycyrrhiza echinata	TAX-49827	Glycyrrhiza glabra			
protein-multi-species	WARNING			MONOMER-5151	MONOMER-5151	TAX-46348	Glycyrrhiza echinata	TAX-3879	Medicago sativa			
protein-multi-species	WARNING			MONOMER-5153	MONOMER-5153	TAX-46348	Glycyrrhiza echinata	TAX-3827	Cicer arietinum			
protein-multi-species	WARNING			MONOMER-5323	MONOMER-5323	TAX-46348	Glycyrrhiza echinata	TAX-3827	Cicer arietinum			
protein-multi-species	WARNING			MONOMER-7523	MONOMER-7523	TAX-46348	Glycyrrhiza echinata	TAX-49827	Glycyrrhiza glabra			
cplx-only-species	INFO			CPLX-4482	CPLX-4482	ORG-5912	Manihot esculenta			MONOMER-6903	9536038	White WLB et al. 1998. Cyanogenesis in cassava. The role of hydroxynitrile lyase in root cyanide produc Plant Physiol 116(4);1219-25 PMID:9536038
cplx-only-species	INFO			MONOMER-6903	acetone cyanohydrin lyase	ORG-5912	Manihot esculenta					
cplx-only-species	INFO			CPLX-7227	CPLX-7227	TAX-137221	Rheum palmatum			MONOMER-12713	11389739; 12724310	Abe I et al. 2001. Benzalacetone synthase. A novel polyketide synthase that plays a crucial role in Eur J Biochem 268(11);3354-9 PMID:11389739; Abe I et al. 2003. Site-directed mutagenesis of benzalacetone synthase. The role of the Phe215 in p J Biol Chem 278(27);25218-26 PMID:12724310
cplx-only-species	INFO			CPLX-6601	CPLX-6601	TAX-137221	Rheum palmatum			MONOMER-11264		
cplx-only-species	INFO			MONOMER-12713	BAS subunit	TAX-137221	Rheum palmatum					
cplx-only-species	INFO			MONOMER-11264	ALS subunit	TAX-137221	Rheum palmatum					
cplx-only-species	INFO			MONOMER-8422	norcoclaurine synthase	TAX-150094	Thalictrum flavum					
cplx-only-species	INFO			CPLX-5002	CPLX-5002	TAX-150094	Thalictrum flavum			MONOMER-8422		
cplx-only-species	INFO			CPLX-234	CPLX-234	TAX-205071	Rheum tataricum			MONOMER-233		
cplx-only-species	INFO			MONOMER-233	STS subunit	TAX-205071	Rheum tataricum					
cplx-only-species	INFO			CPLX-8545	CPLX-8545	TAX-218620	Phlebodium aureum			MONOMER-17613		
cplx-only-species	INFO			MONOMER-17613	(R)-mandelonitrile lyase subunit	TAX-218620	Phlebodium aureum					
cplx-only-species	INFO			MONOMER-9602	<i>N</i>-methyltransferase subunit	TAX-227291	Limonium latifolium					
cplx-only-species	INFO			CPLX-5701	CPLX-5701	TAX-227291	Limonium latifolium			MONOMER-9602		
cplx-only-species	INFO			MONOMER-11327	&beta;-pyrazole-1-ylalanine synthase	TAX-260674	Citrullus lanatus				8280125	Noji M et al. 1993. Evidence for identity of beta-pyrazolealanine synthase with cysteine synthase in Biochem Biophys Res Commun 197(3);1111-7 PMID:8280125
cplx-only-species	INFO			CPLX-6681	CPLX-6681	TAX-260674	Citrullus lanatus			MONOMER-11327	8280125	Noji M et al. 1993. Evidence for identity of beta-pyrazolealanine synthase with cysteine synthase in Biochem Biophys Res Commun 197(3);1111-7 PMID:8280125
cplx-only-species	INFO			MONOMER-11738	subunit PnL	TAX-3240	Psilotum nudum					
cplx-only-species	INFO			MONOMER-11737	subunit PnI	TAX-3240	Psilotum nudum					
cplx-only-species	INFO			CPLX-6970	CPLX-6970	TAX-3240	Psilotum nudum			MONOMER-11737		
cplx-only-species	INFO			CPLX-6971	CPLX-6971	TAX-3240	Psilotum nudum			MONOMER-11738		
cplx-only-species	INFO			MONOMER-12935	PLR subunit	TAX-3316	Thuja plicata					
cplx-only-species	INFO			CPLX-7301	CPLX-7301	TAX-3316	Thuja plicata			MONOMER-12935	8910615; 13129921; 9872995	Dinkova-Kostova AT et al. 1996. (+)-Pinoresinol/(+)-lariciresinol reductase from Forsythia intermedia. Protein p J Biol Chem 271(46);29473-82 PMID:8910615; Min T et al. 2003. Crystal structures of pinoresinol-lariciresinol and phenylcoumaran benzylic ethe J Biol Chem 278(50);50714-23 PMID:13129921; Fujita M et al. 1999. Recombinant pinoresinol-lariciresinol reductases from western red cedar (Thuja p J Biol Chem 274(2);618-27 PMID:9872995
cplx-only-species	INFO			MONOMER-12077	stearoyl-ACP desaturase	TAX-3435	Persea americana					
cplx-only-species	INFO			CPLX-7072	CPLX-7072	TAX-3435	Persea americana			MONOMER-12077		
cplx-only-species	INFO			CPLX-7570	CPLX-7570	TAX-3634	Gossypium barbadense			MONOMER-13699		
cplx-only-species	INFO			MONOMER-13699	desoxyhemigossypol-6-O-methyltransferase	TAX-3634	Gossypium barbadense					
cplx-only-species	INFO			MONOMER-2442	6-phosphofructokinase &beta; subunit	TAX-3710	Brassica nigra					
cplx-only-species	INFO			CPLX-2142	CPLX-2142	TAX-3710	Brassica nigra			MONOMER-2441; MONOMER-2442		
cplx-only-species	INFO			MONOMER-2441	6-phosphofructokinase &alpha; subunit	TAX-3710	Brassica nigra					
cplx-only-species	INFO			MONOMER-12262	myrosinase	TAX-3721	Crambe hispanica					
cplx-only-species	INFO			CPLX-7120	CPLX-7120	TAX-3721	Crambe hispanica			MONOMER-12262	12696966	Bernardi R et al. 2003. Isolation and biochemical characterization of a basic myrosinase from ripe Cramb J Agric Food Chem 51(9);2737-44 PMID:12696966
cplx-only-species	INFO			MONOMER-11718	sorbitol dehydrogenase subunit	TAX-3767	Pyrus pyrifolia					
cplx-only-species	INFO			CPLX-6953	CPLX-6953	TAX-3767	Pyrus pyrifolia			MONOMER-11718	10963448	Oura Y et al. 2000. Purification and characterization of a NAD+-dependent sorbitol dehydrogenase fro Phytochemistry 54(6);567-72 PMID:10963448
cplx-only-species	INFO			MONOMER-235	RS subunits	TAX-3818	Arachis hypogaea					
cplx-only-species	INFO			CPLX-236	CPLX-236	TAX-3818	Arachis hypogaea			MONOMER-235		
cplx-only-species	INFO			CPLX-6721	CPLX-6721	TAX-3866	Leucaena leucocephala			MONOMER-11365		
cplx-only-species	INFO			MONOMER-11365	mimosine synthase	TAX-3866	Leucaena leucocephala					
