org_id	latin_name	ncbi_id
ORG-5296	Zea mays	3055
ORG-5858	Saccharomyces cerevisiae	4932
ORG-5862	Arabidopsis thaliana	3702
ORG-5870	Arthrobacter sp.	1663
ORG-5872	Bacillus sp. No. 230	1386
ORG-5876	Berberis beaniana	22774
ORG-5877	Berberis Wilsoniae	22774
ORG-5884	Camellia taliensis	4441
ORG-5886	Cassia coluteoides	53851
ORG-5892	Corydalis cava	3463
ORG-5893	Corydalis vaginans	3463
ORG-5896	Cucurbita pepo	3663
ORG-5897	Cucurbita pepo medullosa	3663
ORG-5910	Jacquinia angustifolia	85894
ORG-5911	Lupinus termis	3869
ORG-5912	Manihot esculenta	3983
ORG-5915	Micrococcus percitreus	1269
ORG-5986	Thalictrum bulgaricum	46968
ORG-5992	Vicia faba	3906
ORG-5993	Arabidopsis thaliana	3702
ORG-5999	Hyphomicrobium methylovorum	84
ORG-6000	Hyphomicrobium zavarzinii	48292
ORG-6001	Lactuca sativa romaine	4236
ORG-6004	Pyrenochaeta terrestris	285810
ORG-6005	Sinorhizobium meliloti Rm2011	382
ORG-6016	Chlorella sp. (Roon 68)	3071
ORG-6033	Micrococcus luteus	1270
ORG-6035	Oryza sativa	39947
ORG-6046	Maytenus blepharodes Lundell	123430
ORG-6049	Alcaligenes faecalis M3A	511
ORG-6054	Desulfovibrio acrylicus	41791
ORG-6123	Tephrosia vogelii	47097
ORG-6160	Paracoccus pantotrophus NKNCYSA	82367
ORG-6178	Archaeoglobus fulgidus	2234
ORG-6189	Staphylococcus aureus	1280
ORG-6199	Pelargonium crispum	4030
ORG-6200	Paul's Scarlet Climber Rose	74647
ORG-6210	Daphne odora	66679
ORG-6225	Alangium lamarckii	16896
ORG-6270	Physaria kathryn	98028
ORG-6292	Malus domestica	3750
ORG-6293	Malus domestica	3750
ORG-6353	Botryococcus braunii	38881
ORG18C3-1	Solanum habrochaites	62890
ORG18C3-2	Solanum habrochaites	62890
ORG18C3-3	Solanum habrochaites	62890
ORG18C3-4	Solanum habrochaites	62890
ORG4FS-1	Carpobrotus acinaciformis	141999
ORG4FS-2	Arabidopsis thaliana	3702
ORGANOSULFUR	an organosulfur compound	
TAX-1	root	1
TAX-100370	Croton	100370
TAX-1003871	Momordiceae	1003871
TAX-1003875	Sicyoeae	1003875
TAX-1003877	Benincaseae	1003877
TAX-1003878	Cucurbiteae	1003878
TAX-10066	Muridae	10066
TAX-10088	Mus <genus>	10088
TAX-10090	Mus musculus	10090
TAX-101015	Fragaria virginiana	101015
TAX-10114	Rattus	10114
TAX-10116	Rattus norvegicus	10116
TAX-101472	Wollastonia <eudicots>	101472
TAX-101473	Wollastonia biflora	101473
TAX-101596	Dahlia pinnata	101596
TAX-101602	Dahlia variabilis	101602
TAX-1017164	mitosporic Hypocrea	1017164
TAX-102107	Prunus mume	102107
TAX-10239	Viruses	10239
TAX-102803	Ips pini	102803
TAX-102804	Asteroideae	102804
TAX-102805	Barnadesioideae	102805
TAX-102806	Inuleae	102806
