genus	species	short_name	symbol	ncbi
Abies	grandis	Abies grandis	Abg	46611
Acer	pseudoplatanus	Acer pseudoplatanus	Ap	4026
Acetobacter		Acetobacter		434
Acetobacterium	woodii		Aw	33952
Acinetobacter	baylyi	Acinetobacter baylyi	Ab	62977
Actinidia	chinensis	Actinidia chinensis	Ac	3625
Actinidia	deliciosa	Actinidia deliciosa	Ad	3627
Actinidia	eriantha	Actinidia eriantha	Ae	165200
Actinomycetota		Actinomycetota		201174
Adiantum	capillus-veneris	Adiantum capillus-veneris	Adc	13818
Adonideae		Adonideae		1463139
Adonis	aestivalis	Adonis aestivalis	Aa	151078
Adonis	annua	Adonis annua	Ada	212759
Aegilops	tauschii	Aegilops tauschii	Aet	37682
Agapanthus	africanus	Agapanthus africanus	Aga	51501
Ajuga	reptans	Ajuga reptans	Ar	38596
Alangium	lamarckii	Alangium lamarckii	Al	16896
Albizia	julibrissin	Albizia julibrissin	Aj	3813
Alectoria	(lichen)	Alectoria (lichen)	A(	111638
Allioideae		Allioideae		40553
Allium	aflatunense	Allium aflatunense	Ala	70752
Allium	altaicum	Allium altaicum	Aa2	48666
Allium	altyncolicum	Allium altyncolicum	Aa3	165602
Allium	ampeloprasum	Allium ampeloprasum	Aa4	4681
Allium	ascalonicum	Allium ascalonicum	Aa5	1476995
Allium	cepa	Allium cepa	Alc	4679
Allium	chinense	Allium chinense	Ac2	130426
Allium	fistulosum	Allium fistulosum	Af	35875
Allium	nutans	Allium nutans	Aln	138328
Allium	ochotense	Allium ochotense	Ao	669879
Allium	sativum	Allium sativum	As	4682
Allium	schoenoprasum	Allium schoenoprasum	Als	74900
Allium	siculum	Allium siculum	As2	105310
Allium	tuberosum	Allium tuberosum	Alt	4683
Allium	ursinum	Allium ursinum	Au	4684
Allium	victorialis	Allium victorialis	Av	88845
Aloe		Aloe		25641
Aloe	arborescens	Aloe arborescens	Aa6	45385
Aloe	ferox	Aloe ferox	Alf	117798
Alveolata		Alveolata		33630
Amanita	muscaria	Amanita muscaria	Am	41956
Amaranthus	cruentus	Amaranthus cruentus	Amc	117272
Amaranthus	hypochondriacus	Amaranthus hypochondriacus	Ah	28502
Amaryllidaceae		Amaryllidaceae		4668
Ammi	majus	Ammi majus	Amm	48026
Amoebozoa		Amoebozoa		554915
Amorpha	fruticosa	Amorpha fruticosa	Amf	48131
Amygdaloideae		Amygdaloideae		171637
Anaerotignum	propionicum	Anaerotignum propionicum	Anp	28446
Anchusa	officinalis	Anchusa officinalis	Ano	89630
Anemone	leveillei	Anemone leveillei	Anl	212809
Anethum	foeniculum	Anethum foeniculum	Anf	734088
Anigozanthos	preissii	Anigozanthos preissii	Ap2	95948
Anisodus	acutangulus	Anisodus acutangulus	Ana	402998
Anopheles	gambiae	Mosquito	Ag	7165
Anthriscus	sylvestris	Anthriscus sylvestris	Ans	48027
Antirrhinum	majus	Antirrhinum majus	Anm	4151
Aphelandra	squarrosa	Aphelandra squarrosa	Aps	103766
Apiaceae		Apiaceae		4037
Apiales		Apiales		4036
Apicomplexa		Apicomplexa		5794
Apium	graveolens	Apium graveolens	Apg	4045
Apocynaceae		Apocynaceae		4056
Aquifex	aeolicus	Aquifex aeolicus	Aqa	63363
Aquilaria	crassna	Aquilaria crassna	Aqc	223751
Aquilegia	vulgaris	Aquilegia vulgaris	Aqv	3451
Arabidopsis	lyrata	Arabidopsis lyrata	Arl	59689
Arabidopsis	thaliana	Arabidopsis	At	3702
Arabidopsis	thaliana	Arabidopsis thaliana	Art	3702
