ncbi_taxon_id	scientific_name	n_plantcyc_org_ids	plantcyc_org_ids	in_proteins_dat	n_proteins	in_compounds_dat	n_compounds	n_genes	n_pathways_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
	ARA	1	ARA	no	0	yes	2	0	0	yes	no	no	yes	0	0	2	1	resolved_name
46611	Abies grandis	1	TAX-46611	yes	12	no	0	11	28	yes	yes	yes	no	114	116	0	52	resolved_name
3625	Actinidia chinensis	1	TAX-3625	yes	3	no	0	3	5	yes	yes	yes	no	6	6	0	5	resolved_name
3627	Actinidia deliciosa	1	TAX-3627	yes	2	no	0	2	1	yes	yes	yes	no	2	2	0	2	resolved_name
165200	Actinidia eriantha	1	TAX-165200	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
13818	Adiantum capillus-veneris	1	TAX-13818	yes	2	no	0	2	5	yes	yes	yes	no	6	6	0	6	resolved_name
151078	Adonis aestivalis	1	TAX-151078	yes	4	no	0	4	3	yes	yes	yes	no	7	7	0	3	resolved_name
51501	Agapanthus africanus	1	TAX-51501	yes	1	no	0	1	4	yes	yes	yes	no	4	4	0	4	resolved_name
23810	Ailanthus altissima	1	TAX-23810	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
38596	Ajuga reptans	1	TAX-38596	yes	2	no	0	2	4	yes	yes	yes	no	4	4	0	4	resolved_name
16896	Alangium lamarckii	1	ORG-6225	yes	1	no	0	0	1	yes	no	yes	no	0	1	0	1	resolved_name
40553	Allioideae	1	TAX-40553	yes	1	no	0	0	1	yes	no	yes	no	0	2	0	2	resolved_name
28911	Allium cepa	1	TAX-28911	yes	1	no	0	1	2	yes	yes	yes	no	30	49	0	21	resolved_name
4679	Allium cepa	1	TAX-4679	yes	15	no	0	7	17	yes	yes	yes	no	30	49	0	21	resolved_name
4682	Allium sativum	1	TAX-4682	yes	5	no	0	2	4	yes	yes	yes	no	2	10	0	6	resolved_name
105310	Allium siculum	1	TAX-105310	yes	2	no	0	0	1	yes	no	yes	no	0	2	0	1	resolved_name
4683	Allium tuberosum	1	TAX-4683	yes	1	no	0	1	1	yes	yes	yes	no	2	2	0	2	resolved_name
45385	Aloe arborescens	1	TAX-45385	yes	6	no	0	5	2	yes	yes	yes	no	7	7	0	4	resolved_name
117272	Amaranthus cruentus	1	TAX-117272	yes	2	no	0	0	9	yes	no	yes	no	0	13	0	10	resolved_name
28502	Amaranthus hypochondriacus	1	TAX-28502	yes	1	no	0	0	5	yes	no	yes	no	0	5	0	5	resolved_name
48026	Ammi majus	1	TAX-48026	yes	5	no	0	1	1	yes	yes	yes	no	1	5	0	1	resolved_name
212809	Anemone leveillei	1	TAX-212809	yes	2	no	0	2	2	yes	yes	yes	no	4	4	0	2	resolved_name
402998	Anisodus acutangulus	1	TAX-402998	yes	1	no	0	1	2	yes	yes	yes	no	2	2	0	2	resolved_name
48027	Anthriscus sylvestris	1	TAX-48027	yes	3	no	0	2	2	yes	yes	yes	no	2	3	0	2	resolved_name
4151	Antirrhinum majus	1	TAX-4151	yes	4	no	0	3	4	yes	yes	yes	no	3	6	0	5	resolved_name
4045	Apium graveolens	1	TAX-4045	yes	5	no	0	2	4	yes	yes	yes	no	2	8	0	4	resolved_name
223751	Aquilaria crassna	1	TAX-223751	yes	2	no	0	2	3	yes	yes	yes	no	6	6	0	3	resolved_name
3451	Aquilegia vulgaris	1	TAX-3451	yes	1	no	0	1	1	yes	yes	yes	no	1	1	0	1	resolved_name
3702	Arabidopsis thaliana	4	ORG-5862; ORG-5993; ORG4FS-2; TAX-3702	yes	1639	yes	1	1433	625	yes	yes	yes	yes	3602	4117	1	1038	resolved_name
54796	Argemone mexicana	1	TAX-54796	yes	2	no	0	2	5	yes	yes	yes	no	7	7	0	5	resolved_name
35608	Artemisia annua	1	TAX-35608	yes	9	no	0	8	14	yes	yes	yes	no	25	26	0	20	resolved_name
