org_id	scientific_name	ncbi_taxon_id	in_proteins_dat	n_proteins	protein_ids	in_compounds_dat	n_compounds	compound_ids	n_genes	gene_ids	n_pathways_source	pathway_ids_source	in_gpml	gpml_as_geneproduct	gpml_as_protein	gpml_as_metabolite	n_gpml_geneproduct_nodes	n_gpml_protein_nodes	n_gpml_metabolite_nodes	n_gpml_pathway_files	gpml_name_form
ARA	ARA		no	0		yes	2	CPDQT-522; CPDQT-523	0		0		yes	no	no	yes	0	0	4	1	both
TAX-46611	Abies grandis	46611	yes	12	AG11-MONOMER; AG4-MONOMER; AG5-MONOMER; AG6-MONOMER; AG8-MONOMER (... 12 total)	no	0		11	AG11; AG4; AG5; AG6; AG8 (... 11 total)	28	PWY-3041; PWY-3061; PWY-5411; PWY-5412; PWY-5413 (... 28 total)	yes	yes	yes	no	114	116	0	52	resolved_name
TAX-3625	Actinidia chinensis	3625	yes	3	MONOMER-16566; MONOMER-18495; MONOMER-18497	no	0		3	G-12812; G-17972; G-17973	5	PWY-4203; PWY-6443; PWY-6763; PWY-6801; PWY-7449	yes	yes	yes	no	6	6	0	5	resolved_name
TAX-3627	Actinidia deliciosa	3627	yes	2	MONOMER-16563; MONOMER-16565	no	0		2	G-12809; G-12811	1	PWY-6801	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-165200	Actinidia eriantha	165200	yes	1	MONOMER-16564	no	0		1	G-12810	1	PWY-6801	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-13818	Adiantum capillus-veneris	13818	yes	2	MONOMER-14419; MONOMER-14421	no	0		2	G-11005; G-11007	5	PWY-6098; PWY-6109; PWY-6115; PWY-6663; PWY-8028	yes	yes	yes	no	6	6	0	6	resolved_name
TAX-151078	Adonis aestivalis	151078	yes	4	MONOMER-12339; MONOMER-19172; MONOMER-19173; MONOMER-19174	no	0		4	G-43892; G-43893; G-43894; G-9523	3	PWY-5288; PWY-5291; PWY-7636	yes	yes	yes	no	7	7	0	3	resolved_name
TAX-51501	Agapanthus africanus	51501	yes	1	MONOMER-17998	no	0		1	G-15988	4	PWY-7256; PWY-7259; PWY-7260; PWY-7458	yes	yes	yes	no	4	4	0	4	resolved_name
TAX-23810	Ailanthus altissima	23810	yes	1	MONOMER-12561	no	0		0		1	PWY-6927	yes	no	yes	no	0	1	0	1	resolved_name
TAX-38596	Ajuga reptans	38596	yes	2	MONOMER-12486; MONOMER-12673	no	0		2	G-9588; G-9727	4	PWY-5337; PWY-5343; PWY-6524; PWY-6525	yes	yes	yes	no	4	4	0	4	resolved_name
ORG-6225	Alangium lamarckii	16896	yes	1	MONOMER-17752	no	0		0		1	PWY-7135	yes	no	yes	no	0	1	0	1	resolved_name
TAX-40553	Allioideae	40553	yes	1	MONOMER-13838	no	0		0		1	PWY-5707	yes	no	yes	no	0	2	0	2	resolved_name
TAX-28911	Allium cepa	28911	yes	1	MONOMER-13494	no	0		1	G-10278	2	PWY-5706; PWY-7614	yes	yes	yes	no	30	49	0	21	resolved_name
TAX-4679	Allium cepa	4679	yes	15	CPLX-1924; MONOMER-13498; MONOMER-13502; MONOMER-13504; MONOMER-13505 (... 15 total)	no	0		7	G-10277; G-10279; G-10281; G-10282; G-15407 (... 7 total)	17	PWY-5321; PWY-5390; PWY-5687; PWY-5706; PWY-5707 (... 17 total)	yes	yes	yes	no	30	49	0	21	resolved_name
TAX-4682	Allium sativum	4682	yes	5	CPLX-8497; MONOMER-12736; MONOMER-12737; MONOMER-13491; MONOMER-13526	no	0		2	G-10276; G-10290	4	PWY-5409; PWY-5410; PWY-5706; PWY-7614	yes	yes	yes	no	2	10	0	6	resolved_name
TAX-105310	Allium siculum	105310	yes	2	MONOMER-16811; MONOMER-16812	no	0		0		1	PWY-6900	yes	no	yes	no	0	2	0	1	resolved_name
TAX-4683	Allium tuberosum	4683	yes	1	MONOMER-13501	no	0		1	G-10280	1	PWY-5708	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-45385	Aloe arborescens	45385	yes	6	CPLX-27; MONOMER-15005; MONOMER-15013; MONOMER-15018; MONOMER-15019 (... 6 total)	no	0		5	G-11452; G-11457; G-11462; G-11463; G-16	2	PWY-12; PWY-6310	yes	yes	yes	no	7	7	0	4	resolved_name
TAX-117272	Amaranthus cruentus	117272	yes	2	MONOMER-17671; MONOMER-17672	no	0		0		9	GLUCONEO-PWY; GLYOXYLATE-BYPASS; P23-PWY; PWY-561; PWY-5690 (... 9 total)	yes	no	yes	no	0	13	0	10	resolved_name
TAX-28502	Amaranthus hypochondriacus	28502	yes	1	MONOMER-17666	no	0		0		5	PWY-241; PWY-6549; PWY-7115; PWY-7117; PWYQT-4429	yes	no	yes	no	0	5	0	5	resolved_name
TAX-48026	Ammi majus	48026	yes	5	MONOMER-12568; MONOMER-12569; MONOMER-12571; MONOMER-12572; MONOMER-12575	no	0		1	G-9652	1	PWY-5365	yes	yes	yes	no	1	5	0	1	resolved_name
TAX-212809	Anemone leveillei	212809	yes	2	MONOMER-15859; MONOMER-15860	no	0		2	G-12182; G-12183	2	PWY-6598; PWY-7619	yes	yes	yes	no	4	4	0	2	resolved_name
TAX-402998	Anisodus acutangulus	402998	yes	1	MONOMER-13616	no	0		1	G-10381	2	PWY-5317; PWY-7341	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-48027	Anthriscus sylvestris	48027	yes	3	MONOMER-19144; MONOMER-19145; MONOMER-19150	no	0		2	G-43872; G-43877	2	PWY-7629; PWY-7631	yes	yes	yes	no	2	3	0	2	resolved_name
TAX-4151	Antirrhinum majus	4151	yes	4	CPLX-8012; MONOMER-12697; MONOMER-15457; MONOMER-4261	no	0		3	G-11841; G-3361; G-9743	4	PWY-1901; PWY-6444; PWY-6446; PWY-6766	yes	yes	yes	no	3	6	0	5	resolved_name
TAX-4045	Apium graveolens	4045	yes	5	MONOMER-9261; MONOMER-9301; MONOMER-9302; MONOMER-9321; MONOMER-9341	no	0		2	G-7041; G-7061	4	MANNCAT-PWY; PWY-3861; PWY-3881; PWY-5659	yes	yes	yes	no	2	8	0	4	resolved_name
TAX-223751	Aquilaria crassna	223751	yes	2	MONOMER-16036; MONOMER-16040	no	0		2	G-12339; G-12343	3	PWY-5733; PWY-6540; PWY-6669	yes	yes	yes	no	6	6	0	3	resolved_name
TAX-3451	Aquilegia vulgaris	3451	yes	1	MONOMER-11992	no	0		1	G-9293	1	PWY-5129	yes	yes	yes	no	1	1	0	1	resolved_name
ORG-5862	Arabidopsis thaliana	3702	yes	3	AT3G22200-LER-MONOMER; MONOMER-10405; MONOMER-12265	no	0		3	AT3G22200-LER; G-8085; G-9481	4	PWY-4321; PWY-5267; PWY-6473; PWY-7854	yes	yes	yes	no	3602	4117	0	1038	resolved_name
ORG-5993	Arabidopsis thaliana	3702	yes	1610	AT1G01120-MONOMER; AT1G01220-MONOMER; AT1G01280-MONOMER; AT1G01290-MONOMER; AT1G01420-MONOMER (... 1610 total)	yes	1	CPD-1142	1405	AGT1; AT1G01120; AT1G01220; AT1G01280; AT1G01290 (... 1405 total)	625	ALACAT2-PWY; ALANINE-DEG3-PWY; ALANINE-SYN2-PWY; ARG-PRO-PWY; ARGASEDEG-PWY (... 625 total)	yes	yes	yes	yes	3602	4117	1	1038	both
ORG4FS-2	Arabidopsis thaliana	3702	yes	1	MONOMER4FS-22	no	0		1	G4FS-10	2	PWY-3041; PWY-5725	yes	yes	yes	no	3602	4117	0	1038	resolved_name
TAX-3702	Arabidopsis thaliana	3702	yes	25	AT1G26810-MONOMER; AT1G49710-MONOMER; AT2G03220-MONOMER; AT2G13810-MONOMER; AT2G20370-MONOMER (... 25 total)	no	0		24	AT1G26810; AT1G49710; AT2G03220; AT2G13810; AT2G20370 (... 24 total)	12	PLPSAL-PWY; PWY-5284; PWY-5313; PWY-5936; PWY-5986 (... 12 total)	yes	yes	yes	no	3602	4117	0	1038	resolved_name
TAX-54796	Argemone mexicana	54796	yes	2	MONOMER-18679; MONOMER-18680	no	0		2	G-27152; G-27153	5	PWY-3901; PWY-5287; PWY-7138; PWY-7507; PWY-8030	yes	yes	yes	no	7	7	0	5	resolved_name
TAX-35608	Artemisia annua	35608	yes	9	MONOMER-12182; MONOMER-12183; MONOMER-12185; MONOMER-12186; MONOMER-13549 (... 9 total)	no	0		8	G-10320; G-10330; G-11364; G-15524; G-15525 (... 8 total)	14	PWY-5122; PWY-5123; PWY-5195; PWY-5425; PWY-5725 (... 14 total)	yes	yes	yes	no	25	26	0	20	resolved_name
TAX-48545	Asclepias syriaca	48545	yes	1	MONOMER-12585	no	0		1	G-9660	1	PWY-5366	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-20406	Astragalus bisulcatus	20406	yes	2	MONOMER-15257; MONOMER-16911	no	0		1	G-11682	3	PWY-6931; PWY-6935; PWY-6936	yes	yes	yes	no	3	5	0	4	resolved_name
TAX-119829	Astragalus mongholicus	119829	yes	1	MONOMER-19160	no	0		1	G-43885	1	PWY-7633	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-33113	Atropa belladonna	33113	yes	3	CPLX-7164; MONOMER-12446; MONOMER-16825	no	0		1	G-14655	3	PWY-5317; PWY-5318; PWY-7341	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-3078	Auxenochlorella pyrenoidosa	3078	yes	1	MONOMER-16551	no	0		0		1	PWY-6794	yes	no	yes	no	0	1	0	1	resolved_name
TAX-4498	Avena sativa	4498	yes	9	MONOMER-11751; MONOMER-11869; MONOMER-11878; MONOMER-14161; MONOMER-14981 (... 9 total)	no	0		5	G-11428; G-14675; G-14678; G-14679; G-9132	11	PWY-40; PWY-43; PWY-5068; PWY-5083; PWY-5086 (... 11 total)	yes	yes	yes	no	17	21	0	15	resolved_name
TAX-38783	Avena strigosa	38783	yes	11	CPLX-8850; MONOMER-14473; MONOMER-14474; MONOMER-18567; MONOMER-18568 (... 11 total)	no	0		9	G-11048; G-11049; G-18035; G-18036; G-18042 (... 9 total)	14	PWY-5203; PWY-5672; PWY-5958; PWY-6109; PWY-6115 (... 14 total)	yes	yes	yes	no	29	37	0	16	resolved_name
TAX-171760	Barnadesia spinosa	171760	yes	1	MONOMER-15756	no	0		1	G-12100	2	PWY-5745; PWY-6540	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-4436	Batis maritima	4436	yes	1	MONOMER-15439	no	0		1	G-11825	1	PWY-6730	yes	yes	yes	no	1	1	0	1	resolved_name
ORG-5876	Berberis beaniana	22774	yes	1	MONOMER-9401	no	0		0		8	PWY-3901; PWY-5287; PWY-5470; PWY-6337; PWY-7138 (... 8 total)	yes	no	yes	no	0	15	0	8	resolved_name
TAX-33814	Berberis stolonifera	33814	yes	2	MONOMER-12945; MONOMER-20684	no	0		1	G-9903	4	PWY-3581; PWY-5048; PWY-5472; PWY-5886	yes	yes	yes	no	1	6	0	6	resolved_name
TAX-3555	Beta vulgaris	3555	yes	1	MONOMER-12917	no	0		0		1	PWY-5461	yes	no	yes	no	0	1	0	1	resolved_name
TAX-216988	Betula platyphylla	216988	yes	1	MONOMER-14455	no	0		1	G-11031	2	PWY-112; PWY-6109	yes	yes	yes	no	2	2	0	2	resolved_name
TAX-51276	Bidens tripartita	51276	no	0		yes	1	CPD-14376	0		0		yes	no	no	yes	0	0	1	1	raw_id
TAX-66672	Bixa orellana	66672	yes	3	MONOMER-12416; MONOMER-12424; MONOMER-12425	no	0		3	G-9548; G-9555; G-9556	2	PWY-5305; PWY-6806	yes	yes	yes	no	4	4	0	2	resolved_name
TAX-259381	Blighia sapida	259381	yes	2	MONOMER-13775; MONOMER-13789	no	0		0		1	PWY-5826	yes	no	yes	no	0	2	0	1	resolved_name
TAX-13363	Borago officinalis	13363	yes	1	MONOMER-14126	no	0		1	G-10797	1	PWY-5998	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-38881	Botryococcus braunii	38881	yes	2	MONOMER-14433; MONOMER-14640	no	0		1	G-11203	1	PWY-5670	yes	yes	yes	no	10	11	0	9	resolved_name
TAX-869302	Botryococcus braunii	869302	yes	2	MONOMER-17304; MONOMER-17305	no	0		2	G-15090; G-15091	4	PWY-5143; PWY-5885; PWY-6803; PWY-7033	yes	yes	yes	no	10	11	0	9	resolved_name
TAX-15368	Brachypodium distachyon	15368	yes	1	MONOMER4FS-44	no	0		1	G4FS-34	1	PWY-361	yes	yes	yes	no	1	1	0	1	resolved_name
TAX-3707	Brassica juncea	3707	yes	2	MONOMER-14982; MONOMER-14983	no	0		2	G-11429; G-11430	2	PWY-40; PWY-43	yes	yes	yes	no	8	8	0	4	resolved_name
TAX-3708	Brassica napus	3708	yes	15	CPLX-5402; CPLX-5403; CPLX-7647; MONOMER-10721; MONOMER-11865 (... 15 total)	no	0		5	G-10792; G-5883; G-5925; G-5961; G-8321	14	GLYCOLYSIS; PWY-1042; PWY-2821; PWY-3301; PWY-3385 (... 14 total)	yes	yes	yes	no	10	20	0	17	resolved_name
